season,date,team_id,team,opp,ha,total,oppXERA,oppBullpenERA,ops,opsL3,runsL3,s_xera,s_ops,s_bull,s_runsL3,s_opsL3,runs,opp_runs,pk
2024,2024-03-28,137,San Francisco Giants,San Diego Padres,Away,18.58,3.358,6.94,,,,21.5,,100.0,,,4,6,745445
2024,2024-03-28,138,St. Louis Cardinals,Los Angeles Dodgers,Away,24.59,3.959,6.75,,,,36.5,,100.0,,,1,7,746165
2024,2024-03-29,114,Cleveland Guardians,Oakland Athletics,Away,70.05,5.505,8.0,0.8905,,,75.1,100.0,100.0,,,8,0,745687
2024,2024-03-29,133,Oakland Athletics,Cleveland Guardians,Home,0.0,2.23,0.0,0.328,,,0.0,0.0,0.0,,,0,8,745687
2024,2024-03-29,115,Colorado Rockies,Arizona Diamondbacks,Away,40.0,7.192,1.0,0.4353,,,100.0,0.0,0.0,,,1,16,747224
2024,2024-03-29,109,Arizona Diamondbacks,Colorado Rockies,Home,80.0,15.214,18.0,1.0773,,,100.0,100.0,100.0,,,16,1,747224
2024,2024-03-29,111,Boston Red Sox,Seattle Mariners,Away,61.22,4.747,6.0,0.8776,,,56.2,100.0,87.5,,,6,4,745283
2024,2024-03-29,136,Seattle Mariners,Boston Red Sox,Home,47.5,4.76,4.0,0.7484,,,56.5,70.5,37.5,,,4,6,745283
2024,2024-03-30,147,New York Yankees,Houston Astros,Away,35.55,1.597,4.72,0.8424,,,0.0,100.0,55.5,,,7,1,746412
2024,2024-03-30,117,Houston Astros,New York Yankees,Home,50.8,6.183,0.69,0.7065,,,92.1,46.6,0.0,,,1,7,746412
2024,2024-03-30,115,Colorado Rockies,Arizona Diamondbacks,Away,6.05,3.105,2.0,0.5255,,,15.1,0.0,0.0,,,3,7,747223
2024,2024-03-30,109,Arizona Diamondbacks,Colorado Rockies,Home,80.0,7.086,12.94,1.109,,,100.0,100.0,100.0,,,7,3,747223
2024,2024-03-30,114,Cleveland Guardians,Oakland Athletics,Away,50.71,3.571,6.5,0.8685,,,26.8,100.0,100.0,,,6,4,745682
2024,2024-03-30,133,Oakland Athletics,Cleveland Guardians,Home,17.63,4.263,2.0,0.5626,,,44.1,0.0,0.0,,,4,6,745682
2024,2024-03-30,111,Boston Red Sox,Seattle Mariners,Away,2.55,2.06,3.0,0.6326,,,0.0,4.3,12.5,,,0,1,745276
2024,2024-03-30,136,Seattle Mariners,Boston Red Sox,Home,6.27,3.09,2.65,0.6134,,,14.7,0.0,3.7,,,1,0,745276
2024,2024-03-30,137,San Francisco Giants,San Diego Padres,Away,80.0,10.552,7.3,0.8553,,,100.0,100.0,100.0,,,8,3,745435
2024,2024-03-30,135,San Diego Padres,San Francisco Giants,Home,83.15,5.169,5.73,0.7938,0.912,7.67,66.7,96.5,80.8,94.5,100.0,3,8,745435
2024,2024-03-30,138,St. Louis Cardinals,Los Angeles Dodgers,Away,5.0,1.328,4.5,0.3975,,,0.0,0.0,50.0,,,3,6,746167
2024,2024-03-30,119,Los Angeles Dodgers,St. Louis Cardinals,Home,77.25,4.362,6.17,0.8792,0.9724,7.67,46.6,100.0,91.8,94.5,100.0,6,3,746167
2024,2024-03-31,115,Colorado Rockies,Arizona Diamondbacks,Away,58.27,6.992,4.33,0.6788,0.6788,,100.0,30.7,45.8,,44.7,9,4,747221
2024,2024-03-31,109,Arizona Diamondbacks,Colorado Rockies,Home,90.0,7.105,9.72,1.0497,1.0497,,100.0,100.0,100.0,,100.0,4,9,747221
2024,2024-03-31,138,St. Louis Cardinals,Los Angeles Dodgers,Away,15.29,3.594,4.24,0.4352,0.4352,,27.3,0.0,43.5,,0.0,6,5,746168
2024,2024-03-31,119,Los Angeles Dodgers,St. Louis Cardinals,Home,59.12,2.7,5.4,0.8606,0.895,8.0,5.0,100.0,72.5,100.0,98.8,5,6,746168
2024,2024-03-31,111,Boston Red Sox,Seattle Mariners,Away,2.41,1.756,2.57,0.5893,0.5893,,0.0,0.0,1.7,,22.3,3,4,745278
2024,2024-03-31,136,Seattle Mariners,Boston Red Sox,Home,1.16,2.255,2.05,0.5465,0.5465,,0.0,0.0,0.0,,11.6,4,3,745278
2024,2024-03-31,141,Toronto Blue Jays,Tampa Bay Rays,Away,35.99,4.984,3.86,0.6344,0.6344,3.67,62.1,5.4,34.0,27.8,33.6,9,2,745115
2024,2024-03-31,137,San Francisco Giants,San Diego Padres,Away,75.9,4.428,8.07,0.8314,0.8314,7.0,48.2,100.0,100.0,83.3,82.8,4,13,745438
2024,2024-04-02,141,Toronto Blue Jays,Houston Astros,Away,6.28,1.374,3.52,0.5982,0.5157,4.0,0.0,0.0,25.5,33.3,3.9,0,10,746409
2024,2024-04-02,117,Houston Astros,Toronto Blue Jays,Home,75.25,5.439,6.45,0.7828,0.8352,2.33,73.5,90.2,98.8,5.5,83.8,10,0,746409
2024,2024-04-02,111,Boston Red Sox,Oakland Athletics,Away,55.9,6.126,7.08,0.6511,0.6619,2.67,90.7,14.9,100.0,11.2,40.5,9,0,745675
2024,2024-04-02,133,Oakland Athletics,Boston Red Sox,Home,4.82,1.314,1.37,0.5749,0.5815,3.67,0.0,0.0,0.0,27.8,20.4,0,9,745675
2024,2024-04-02,114,Cleveland Guardians,Seattle Mariners,Away,84.53,7.238,2.85,0.795,0.7473,7.0,100.0,97.1,8.8,83.3,61.8,4,5,745277
2024,2024-04-02,136,Seattle Mariners,Cleveland Guardians,Home,30.39,5.539,2.38,0.5374,0.4885,2.0,76.0,0.0,0.0,0.0,0.0,5,4,745277
2024,2024-04-02,138,St. Louis Cardinals,San Diego Padres,Away,51.09,5.757,7.12,0.5821,0.6856,4.33,81.4,0.0,100.0,38.8,46.4,6,2,745437
2024,2024-04-02,135,San Diego Padres,St. Louis Cardinals,Home,93.89,7.229,4.86,0.824,0.8641,7.33,100.0,100.0,59.0,88.8,91.0,2,6,745437
2024,2024-04-02,147,New York Yankees,Arizona Diamondbacks,Away,79.48,6.507,3.83,0.7715,0.7197,5.33,100.0,83.7,33.2,55.5,54.9,5,2,747218
2024,2024-04-02,109,Arizona Diamondbacks,New York Yankees,Home,39.63,1.579,0.94,0.8651,0.6631,5.33,0.0,100.0,0.0,55.5,40.8,2,5,747218
2024,2024-04-02,137,San Francisco Giants,Los Angeles Dodgers,Away,51.94,3.656,3.45,0.7679,0.7071,7.0,28.9,81.7,23.8,83.3,51.8,3,8,746170
2024,2024-04-02,119,Los Angeles Dodgers,San Francisco Giants,Home,58.83,2.966,7.76,0.8646,0.8447,5.33,11.7,100.0,100.0,55.5,86.2,8,3,746170
2024,2024-04-02,108,Los Angeles Angels,Miami Marlins,Away,22.15,2.68,6.11,0.6321,0.7044,5.0,4.5,4.1,90.3,50.0,51.1,3,1,746086
2024,2024-04-02,140,Texas Rangers,Tampa Bay Rays,Away,83.55,4.956,6.1,0.8785,0.8996,8.33,61.4,100.0,90.0,100.0,99.9,2,5,745111
2024,2024-04-02,112,Chicago Cubs,Colorado Rockies,Home,69.94,15.214,8.51,0.6803,0.6965,5.33,100.0,31.6,100.0,55.5,49.1,12,2,746898
2024,2024-04-02,144,Atlanta Braves,Chicago White Sox,Away,55.0,1.737,4.5,0.9441,0.9691,8.33,0.0,100.0,50.0,100.0,100.0,2,3,746814
